X Gaze Data,Y Gaze Data,Timestamp
1130,551,00:00:11:4617
1132,552,00:00:11:4737
1131,552,00:00:11:4807
1129,551,00:00:11:4927
1130,551,00:00:11:5016
1129,552,00:00:11:5138
1123,549,00:00:11:5437
1110,545,00:00:11:5467
1107,542,00:00:11:5579
1106,542,00:00:11:5748
1103,541,00:00:11:5788
1102,541,00:00:11:5913
1101,541,00:00:11:6019
1098,541,00:00:11:6148
1098,541,00:00:11:6258
1098,542,00:00:11:6418
1097,542,00:00:11:6467
1097,542,00:00:11:6597
1095,545,00:00:11:6737
1095,546,00:00:11:7126
1096,549,00:00:11:7146
1096,550,00:00:11:7265
1096,550,00:00:11:7445
1096,550,00:00:11:7545
1096,551,00:00:11:7604
1096,550,00:00:11:7704
1095,551,00:00:11:7814
1091,551,00:00:11:8073
1059,555,00:00:11:8123
1052,557,00:00:11:8292
1049,558,00:00:11:8418
1045,557,00:00:11:8458
1043,557,00:00:11:8597
1041,556,00:00:11:8747
1040,556,00:00:11:8857
1036,555,00:00:11:8926
1035,555,00:00:11:9016
1035,554,00:00:11:9146
1035,555,00:00:11:9246
1035,555,00:00:11:9375
1035,556,00:00:11:9465
1035,557,00:00:11:9624
1034,559,00:00:11:9744
1034,560,00:00:11:9964
1034,561,00:00:11:9964
1034,561,00:00:12:0053
1033,560,00:00:12:0133
1032,560,00:00:12:0273
1031,559,00:00:12:0383
1031,559,00:00:12:0472
1031,558,00:00:12:0602
1031,557,00:00:12:0762
1032,556,00:00:12:0801
1032,556,00:00:12:0921
1033,556,00:00:12:1101
1034,556,00:00:12:1120
1034,555,00:00:12:1250
1034,556,00:00:12:1410
1034,556,00:00:12:1450
1034,556,00:00:12:1589
1035,557,00:00:12:1749
1035,557,00:00:12:1789
1035,558,00:00:12:1928
1035,559,00:00:12:2158
1035,560,00:00:12:2257
1034,560,00:00:12:2487
1034,560,00:00:12:2507
1034,557,00:00:12:2587
1033,557,00:00:12:2726
1033,557,00:00:12:2806
1032,557,00:00:12:2926
1032,556,00:00:12:3135
1032,556,00:00:12:3255
1032,557,00:00:12:3424
1031,557,00:00:12:3454
1031,557,00:00:12:3594
1031,558,00:00:12:3734
1032,557,00:00:12:3813
1032,557,00:00:12:3933
1033,557,00:00:12:4122
1034,556,00:00:12:4132
1035,556,00:00:12:4322
1035,558,00:00:12:4472
1034,560,00:00:12:4581
1033,559,00:00:12:4701
1032,558,00:00:12:4781
1033,558,00:00:12:4950
1051,561,00:00:12:5030
1083,567,00:00:12:5269
1105,572,00:00:12:5359
1113,572,00:00:12:5469
1122,574,00:00:12:5573
1128,575,00:00:12:5722
1128,575,00:00:12:5783
1128,575,00:00:12:6124
1126,575,00:00:12:6134
1126,575,00:00:12:6234
1126,575,00:00:12:6457
1126,574,00:00:12:6477
1126,574,00:00:12:6616
1126,573,00:00:12:6896
1126,574,00:00:12:6915
1127,574,00:00:12:7186
1134,544,00:00:12:7256
1137,534,00:00:12:7366
1142,529,00:00:12:7465
1159,539,00:00:12:7577
1160,544,00:00:12:7686
1218,634,00:00:12:7796
2103,1420,00:00:13:7647
2103,1420,00:00:13:7777
2103,1420,00:00:13:7916
1866,1366,00:00:13:8365
1070,1184,00:00:13:8435
784,1119,00:00:13:8745
1636,499,00:00:14:2792
1636,499,00:00:14:2912
1636,499,00:00:14:2982
1258,1379,00:00:14:5982
1258,1379,00:00:14:6261
1339,1410,00:00:14:7059
1551,1491,00:00:14:7099
1602,1511,00:00:14:7368
0,0,00:00:15:0000
0,0,00:00:16:0000
0,0,00:00:17:0000
0,0,00:00:18:0000
0,0,00:00:19:0000
0,0,00:00:20:0000
0,0,00:00:21:0000
