Event,X Fixation Data,Y Fixation Data,Timestamp,Valid Left Pupil,Valid Right Pupil,Left Pupil Size,Left Pupil Scale,Right Pupil Size,Right Pupil Scale,Valid Left Gaze,Valid Right Gaze,Left X Gaze,Left Y Gaze,Right X Gaze,Right Y Gaze,Valid Fixation
Data,1019.7887999999999,500.60159999999996,00:01:13:0108,1,1,33.37616,0.95769,32.13837,0.94876,1,1,0.50448,0.56614,0.57907,0.38308,1
Data,1019.0016,502.578,00:01:13:0115,1,1,33.36036,0.94876,32.11644,0.94876,1,1,0.50585,0.56780,0.54827,0.39582,1
Data,1018.9056,503.76599999999996,00:01:13:0122,1,1,33.34309,0.94876,32.13903,0.94876,1,1,0.50905,0.56327,0.55132,0.39158,1
Data,1018.8288,504.7488,00:01:13:0129,1,1,33.33164,0.94876,32.24261,0.94876,1,1,0.50905,0.56327,0.55132,0.39158,1
Data,1019.2512,510.11640000000006,00:01:13:0136,1,1,33.44472,0.94876,32.18378,0.94876,1,1,0.51180,0.56560,0.55171,0.44494,1
Data,1019.2512,510.11640000000006,00:01:13:0143,1,1,33.44472,0.94876,32.18378,0.94876,1,1,0.51180,0.56560,0.55171,0.44494,1
Data,1019.3663999999999,512.3304,00:01:13:0150,1,1,33.42950,0.94876,31.96841,0.95769,1,1,0.51180,0.56560,0.55174,0.44064,1
Data,1020.2304,513.3348,00:01:13:0157,1,1,33.26349,0.95769,31.97654,0.96662,1,1,0.52217,0.55257,0.55413,0.42584,1
Data,1020.9599999999999,513.8316,00:01:13:0164,1,1,33.20450,0.97555,32.16337,0.98448,1,1,0.51703,0.53258,0.55280,0.42071,1
Data,1020.9599999999999,513.8316,00:01:13:0171,1,1,33.20450,0.97555,32.16337,0.98448,1,1,0.51703,0.53258,0.55280,0.42071,1
Data,1021.2864,513.6804,00:01:13:0178,1,1,33.22272,0.98448,31.95856,0.98448,1,1,0.51928,0.53021,0.55068,0.41602,1
Data,1020.7872,518.6592,00:01:13:0185,1,1,33.32201,0.98448,32.06029,0.98448,1,1,0.51464,0.58961,0.54387,0.45842,1
Data,1020.7872,518.6592,00:01:13:0192,1,1,33.32201,0.98448,32.06029,0.98448,1,1,0.51464,0.58961,0.54387,0.45842,1
Data,1027.4304000000002,516.4775999999999,00:01:13:0199,1,1,33.85341,0.98448,31.27627,0.98448,1,1,0.59180,0.49886,0.62338,0.37306,1
Data,1036.8192,512.4276,00:01:13:0206,1,1,33.82442,0.98448,31.32527,0.98448,1,1,0.62903,0.42445,0.66621,0.35936,1
Data,1051.6416000000002,506.1312,00:01:13:0213,1,1,33.24061,0.95824,31.28324,0.94931,1,1,0.62335,0.42393,0.63065,0.38258,1
End,1057.824,504.3708,00:01:13:0220,1,1,33.08772,0.94066,31.15940,0.93173,1,1,0.61107,0.46020,0.65212,0.39230,1
Begin,1203.7824,464.8212,00:01:13:0248,1,1,32.67496,0.92280,30.79099,0.92280,1,1,0.62076,0.46775,0.66961,0.38846,1
Data,1203.7824,464.8212,00:01:13:0255,1,1,32.67496,0.92280,30.79099,0.92280,1,1,0.62076,0.46775,0.66961,0.38846,1
Data,1208.1792,456.69960000000003,00:01:13:0262,1,1,32.40384,0.94011,30.54445,0.94011,1,1,0.61268,0.46554,0.65592,0.34343,1
Data,1209.696,453.4704,00:01:13:0269,1,1,32.37490,0.94011,30.41395,0.94904,1,1,0.61268,0.46554,0.65691,0.33843,1
Data,1207.68,451.73159999999996,00:01:13:0276,1,1,32.37724,0.94038,30.40535,0.94931,1,1,0.60145,0.48335,0.64186,0.33057,1
Data,1205.8368,450.576,00:01:13:0283,1,1,32.39641,0.94066,30.14228,0.94959,1,1,0.59578,0.48734,0.64482,0.33001,1
Data,1204.3584,449.6364,00:01:13:0290,1,1,32.21026,0.94093,30.15553,0.94986,1,1,0.59581,0.48712,0.64484,0.32985,1
Data,1201.7087999999999,448.29720000000003,00:01:13:0297,1,1,31.90996,0.94986,29.90660,0.94986,1,1,0.59640,0.47569,0.62789,0.32961,1
Data,1202.6112,448.2648,00:01:13:0304,1,1,31.95601,0.94986,29.90613,0.94986,1,1,0.62979,0.45605,0.62808,0.37379,1
Data,1202.6112,448.2648,00:01:13:0311,1,1,31.95601,0.94986,29.90613,0.94986,1,1,0.62979,0.45605,0.62808,0.37379,1
Data,1202.112,448.0056,00:01:13:0318,1,1,31.83279,0.94986,29.76175,0.94986,1,1,0.62374,0.44974,0.62172,0.37351,1
Data,1202.3616,447.6816,00:01:13:0325,1,1,31.82193,0.94986,29.71065,0.94986,1,1,0.62978,0.45141,0.62630,0.36926,1
Data,1202.6688,446.0724,00:01:13:0332,1,1,31.45363,0.96028,29.47583,0.97070,1,1,0.62780,0.43300,0.62558,0.35939,1
Data,1202.6688,446.0724,00:01:13:0339,1,1,31.45363,0.96028,29.47583,0.97070,1,1,0.62780,0.43300,0.62558,0.35939,1
Data,1202.8992,444.22560000000004,00:01:13:0346,1,1,31.44831,0.97070,29.27282,0.98111,1,1,0.63236,0.41816,0.62502,0.34649,1
Data,1203.5711999999999,440.37,00:01:13:0353,1,1,31.33793,0.99153,29.06707,0.99153,1,1,0.63428,0.40225,0.62586,0.34964,1
Data,1203.7248000000002,438.8904,00:01:13:0360,1,1,31.32729,0.99153,28.86559,0.99153,1,1,0.63623,0.40827,0.62095,0.34983,1
Data,1203.7248000000002,438.8904,00:01:13:0367,1,1,31.32729,0.99153,28.86559,0.99153,1,1,0.63623,0.40827,0.62095,0.34983,1
Data,1203.8208000000002,437.8104,00:01:13:0374,1,1,31.35915,0.99153,28.93763,0.97218,1,1,0.63623,0.40827,0.61959,0.36020,1
Data,1201.4207999999999,438.2208,00:01:13:0380,1,1,31.27290,0.95284,29.06116,0.93349,1,1,0.60206,0.45884,0.62317,0.38103,1
Data,1200.2688,439.39799999999997,00:01:13:0388,1,1,31.25661,0.93349,28.80706,0.91415,1,1,0.59957,0.47463,0.62167,0.39142,1
Data,1200.2688,439.39799999999997,00:01:13:0394,1,1,31.25661,0.93349,28.80706,0.91415,1,1,0.59957,0.47463,0.62167,0.39142,1
Data,1183.008,443.62080000000003,00:01:13:0401,1,1,30.91467,0.91415,28.98339,0.91415,1,1,0.46868,0.55916,0.49801,0.37719,1
End,1173.8496,445.3704,00:01:13:0408,1,1,30.85262,0.92280,29.19269,0.94215,1,1,0.46885,0.55197,0.49651,0.36061,1
Begin,793.0752,523.3464,00:01:13:0457,1,1,29.80458,0.94093,28.49485,0.93200,1,1,0.42276,0.60165,0.42979,0.39562,1
Data,797.9904,530.7876,00:01:13:0464,1,1,29.68497,0.93200,28.60102,0.92308,1,1,0.42324,0.62260,0.42849,0.41547,1
Data,801.2736,535.7772,00:01:13:0471,1,1,29.78377,0.93173,28.52384,0.92280,1,1,0.42324,0.62281,0.42853,0.41563,1
Data,803.328,534.8808,00:01:13:0478,1,1,29.77464,0.93145,28.48693,0.93145,1,1,0.42031,0.62156,0.42928,0.35891,1
Data,800.6208,534.7836,00:01:13:0485,1,1,29.70097,0.94011,28.50607,0.94011,1,1,0.41799,0.63431,0.39620,0.35479,1
Data,798.336,533.9843999999999,00:01:13:0492,1,1,29.73540,0.94876,28.28457,0.94876,1,1,0.41777,0.62778,0.39484,0.34930,1
Data,798.7776,529.794,00:01:13:0499,1,1,29.57047,0.94876,28.28277,0.94876,1,1,0.41633,0.55830,0.41981,0.35294,1
Data,799.0656,527.2776,00:01:13:0506,1,1,29.58280,0.94876,28.17060,0.94876,1,1,0.41398,0.56504,0.42142,0.36467,1
Data,799.3152,525.1716,00:01:13:0513,1,1,29.30504,0.94876,28.26303,0.94876,1,1,0.41398,0.56504,0.42142,0.36467,1
Data,799.3344000000001,521.532,00:01:13:0520,1,1,29.18667,0.94876,28.10658,0.94876,1,1,0.41225,0.51746,0.41593,0.37946,1
Data,799.0464,519.318,00:01:13:0527,1,1,29.12519,0.94011,28.10392,0.94904,1,1,0.41245,0.52518,0.41589,0.37930,1
Data,799.0464,519.318,00:01:13:0534,1,1,29.12519,0.94011,28.10392,0.94904,1,1,0.41245,0.52518,0.41589,0.37930,1
Data,798.7392,517.2984,00:01:13:0541,1,1,29.14304,0.94066,28.02449,0.94959,1,1,0.39976,0.55293,0.44025,0.38899,1
Data,799.104,516.4236,00:01:13:0548,1,1,29.09497,0.94959,28.00405,0.95852,1,1,0.39946,0.54518,0.43927,0.38386,1
Data,798.432,515.4084,00:01:13:0555,1,1,29.13763,0.96717,27.93609,0.96717,1,1,0.38707,0.53874,0.43216,0.38167,1
Data,798.432,515.4084,00:01:13:0562,1,1,29.13763,0.96717,27.93609,0.96717,1,1,0.38707,0.53874,0.43216,0.38167,1
Data,797.3184,514.62,00:01:13:0569,1,1,29.18196,0.97582,27.79246,0.97582,1,1,0.38305,0.54841,0.42555,0.37693,1
Data,795.8208000000001,512.7624,00:01:13:0576,1,1,29.03079,0.98448,27.73236,0.98448,1,1,0.40240,0.54889,0.41714,0.36845,1
Data,796.32,512.1576,00:01:13:0583,1,1,29.02722,0.98448,27.55136,0.98448,1,1,0.39392,0.54765,0.44700,0.37607,1
Data,796.896,512.2224,00:01:13:0590,1,1,28.85577,0.96832,27.61230,0.95939,1,1,0.39452,0.56118,0.44952,0.39025,1
Data,798.2783999999999,513.27,00:01:13:0597,1,1,28.89689,0.94324,27.50323,0.93431,1,1,0.42123,0.58032,0.44473,0.41661,1
Data,799.2768,514.8684,00:01:13:0604,1,1,28.86850,0.91816,27.59447,0.90923,1,1,0.41891,0.60133,0.43988,0.42648,1
